Rooms;Living_Space;Price;Address;Building_type;Location;possible_collocation;Transport_Index;Population
2,5;50;1650;Belmont-sur-Lausanne, 1092 Belmont-sur-Lausanne;Apartment;Lausanne;yes;1,5;144365
2;40;1620;Ch. du Vallon, 1093 La Conversion;Apartment;Lutry;no;1,25;10796
4,5;90;2825;Boulevard de la Forit 33, 1009 Pully;Apartment;Pully;yes;1,25;19298
3,5;94;2300;1610 Oron;Apartment;Oron;yes;1;6173
2,5;78;1850;Chexbres, 1071 Chexbres;Apartment;Chexbres;yes;0,25;2230
2;36;938;Savigny, 1073 Savigny;Apartment;Savigny;no;0,25;3448
5;129;3950;Belmont, 1092 Belmont-sur-Lausanne;Apartment;Lausanne;yes;1,5;144365
1;21;650;Grandvaux, 1091 Grandvaux;Studio;Grandvaux;no;1,25;91
3,5;85;2074;Chemin du Caudoz, 1009 Pully;Apartment;Pully;yes;1,25;19298
2,5;56;2150;Route de Cossonay, 1095 Lutry;Apartment;Lutry;yes;1,25;10796
1;22;835;Rue de la gare, 1091 Chenaux;Studio;Oron;no;1;6173
4,5;86;2300;Pully, 1009 Pully;Apartment;Pully;yes;1,25;19298
2;40;1500;Avenue du Prieur‚, 1009 Pully;Apartment;Pully;no;1,25;19298
1;27;1521;Route du Simplon 7, 1094 Paudex;Studio;Paudex;no;1,25;1538
2;45;1900;Rue de la justice 5, 1096 Cully;Apartment;Cully;no;0,25;861
3,5;65;1690;M‚ziŠres, 1083 M‚ziŠres VD;Apartment;M‚ziŠres;yes;0,25;3177
4;116;3600;Chemin des Ramiers, 1009 Pully;Apartment;Pully;yes;1,25;19298
2;67;1782;Chemin du Coteau, 1009 Pully;Apartment;Pully;no;1,25;19298
6;160;3175;Chemin de Villars, 1092 Belmont-sur-Lausanne;Apartment;Lausanne;yes;1,5;144365
4,5;130;2200;Chemin du Crit 11, 1083 M‚ziŠres VD;Apartment;M‚ziŠres;yes;0,25;3177
3,5;85;2250;Grandvaux, 1091 Grandvaux;Apartment;Grandvaux;yes;1,25;91
1;100;1200;charrettaz, paudex, 1094 Paudex;Studio;Paudex;no;1,25;1538
3,5;104;2140;Rte Du Burenoz 39, 1092 Belmont-sur-Lausanne;Apartment;Lausanne;yes;1,5;144365
1,5;42;1300;Boulevard de la forit, 1009 Pully;Apartment;Pully;no;1,25;19298
3,5;104;1940;Route du Burenoz 39, 1092 Belmont-sur-Lausanne;Apartment;Lausanne;yes;1,5;144365
2,5;65;2100;Lutry, 1095 Lutry;Apartment;Lutry;yes;1,25;10796
