Rooms;Living_Space;Price;Address;Building_type;Location;possible_collocation;Transport_Index;Population
1;30;1300;Chemin de la Rosi‚re 17, 1012 Lausanne;Studio;Lausanne;no;1,5;144365
1;14;900;Route du Pavement 7, 1018 Lausanne;Studio;Lausanne;no;1,5;144365
1;83;950;Lausanne, 1004 Lausanne;Studio;Lausanne;no;1,5;144365
1;14;850;Passage Mathias-Mayor 2, 1004 Lausanne;Studio;Lausanne;no;1,5;144365
3,5;80;3590;TIVOLI, 1007 Lausanne;Apartment;Lausanne;yes;1,5;144365
2;50;1430;Avenue Recordon 16, 1004 Lausanne;Apartment;Lausanne;no;1,5;144365
1,5;20;800;Avenue de Valmont 20, 1010 Lausanne;Apartment;Lausanne;no;1,5;144365
3,5;70;1850;Cheseaux sur Lausanne, 1033 Cheseaux-sur-Lausanne;Apartment;Lausanne;yes;1,5;144365
2,5;60;2290;Route de Pavement 48, 1018 Lausanne;Apartment;Lausanne;yes;1,5;144365
5;110;2650;Chemin des Geais 5a, 1066 Epalinges;Apartment;Epalinges;yes;1,25;9910
3,5;100;800;chemin du Muveran 5, 1012 Lausanne;Apartment;Lausanne;yes;1,5;144365
1;25;800;Route d'oron 1, 1010 Lausanne;Studio;Lausanne;no;1,5;144365
5,5;120;3500;Villars-sur-Ollon, 1003 Lausanne;Apartment;Lausanne;yes;1,5;144365
1;18;880;Avenue de Valmont 18, 1010 Lausanne;Studio;Lausanne;no;1,5;144365
1;14;1100;Vers chez les Blanc, 1000 Lausanne 25;Studio;Lausanne;no;1,5;144365
2;72;2400;Lausanne, 1004 Lausanne;Apartment;Lausanne;no;1,5;144365
1,5;41;1600;1006 Lausanne;Apartment;Lausanne;no;1,5;144365
2,5;55;1500;Av de morges, 1004 Lausanne;Apartment;Lausanne;yes;1,5;144365
4,5;140;2850;Ch. De Sor‚cot 4, 1033 Cheseaux-sur-Lausanne;Apartment;Lausanne;yes;1,5;144365
1;27;1300;Chauderon, 1004 Lausanne;Studio;Lausanne;no;1,5;144365
